,literal,grade,stroke_counts,freq,jlpt,ja_ons,ja_kuns,meanings,example,example_translation
940,緒,8.0,14,952,2.0,"['ショ', 'チョ']","['お', 'いとぐち']","['thong', 'beginning', 'inception', 'end', 'cord', 'strap', 'mental or emotional state']",堪忍袋の緒が切れる。,My patience has come to the breaking point.
941,跡,8.0,13,953,1.0,['セキ'],['あと'],"['tracks', 'mark', 'print', 'impression']",ここは城の跡です。,This is the site of a castle.
942,包,4.0,5,954,2.0,['ホウ'],"['つつ.む', 'くる.む']","['wrap', 'pack up', 'cover', 'conceal']",この小包をカナダへ送りたいのですが。,I'd like to mail this package to Canada.
943,駐,8.0,15,955,2.0,['チュウ'],[],"['stop-over', 'reside in', 'resident']",彼は駐日アメリカ大使に命じられたばかりです。,He has just been appointed the U.S. Ambassador to Japan.
944,貢,8.0,10,956,1.0,"['コウ', 'ク']",['みつ.ぐ'],"['tribute', 'support', 'finance']",中立の国がその論争の解決に貢献する事が求められていた。,A neutral country was asked to help settle the dispute.
945,鹿,4.0,11,957,1.0,['ロク'],"['しか', 'か']",['deer'],森の中ではあまり鹿を見かけなかった。,We didn't see many deer in the forest.
946,弱,2.0,10,958,3.0,['ジャク'],"['よわ.い', 'よわ.る', 'よわ.まる', 'よわ.める']","['weak', 'frail']",彼女は弱そうに見えるが、芯が強い。,"She looks weak, but she’s mentally strong."
947,却,8.0,7,959,1.0,['キャク'],"['かえ.って', 'しりぞ.く', 'しりぞ.ける']","['instead', 'on the contrary', 'rather', 'step back', 'withdraw', 'retreat']",夫の会社人間からの脱却を始め、新しい夫婦関係を再構築し、ゆとりある家庭生活を形成することが理想であろう。,It is high time we reconstructed new family relationships and formed a comfortable life.
948,端,8.0,14,960,1.0,['タン'],"['はし', 'は', 'はた', '-ばた', 'はな']","['edge', 'origin', 'end', 'point', 'border', 'verge', 'cape']",こっちの端を持っていてくれますか。,Will you please hold this edge?
949,賃,6.0,13,961,2.0,['チン'],[],"['fare', 'fee', 'hire', 'rent', 'wages', 'charge']",仕事が忙しくて。でも、すごく家賃の安いアパートを見つけました。,My job keeps me busy. But my new apartment is cheap.
950,折,4.0,7,962,2.0,"['セツ', 'シャク']","['お.る', 'おり', 'お.り', '-お.り', 'お.れる']","['fold', 'break', 'fracture', 'bend', 'yield', 'submit']",あなたはちょうどよい折に来た。,You have come at an opportune time.
951,紹,8.0,11,963,2.0,['ショウ'],[],"['introduce', 'inherit', 'help']",イギリス人はしばしば、誰かに紹介されるとすぐ握手をする。,"On being introduced to somebody, a British person often shakes hands."
952,獲,8.0,16,964,1.0,['カク'],['え.る'],"['seize', 'get', 'find', 'earn', 'acquire', 'can', 'may', 'able to']",鹿は良い獲物だ。,Deer are good game.
953,郡,4.0,10,965,1.0,['グン'],['こおり'],"['county', 'district']",その発電所は、その遠く離れた郡に電気を供給している。,The power plant supplies the remote district with electricity.
954,併,8.0,8,966,1.0,['ヘイ'],['あわ.せる'],"['join', 'get together', 'unite', 'collective']",三菱銀行は東京銀行を吸収合併した。,Mitsubishi Bank merged with Tokyo Bank.
955,草,1.0,9,967,2.0,['ソウ'],"['くさ', 'くさ-', '-ぐさ']","['grass', 'weeds', 'herbs', 'pasture', 'write', 'draft']",草が庭のそこここに生えている。,The grass sprouts all over the garden.
956,徹,8.0,15,968,1.0,['テツ'],[],"['penetrate', 'clear', 'pierce', 'strike home', 'sit up (all night)']",あの官房長官は表に出ず脇役に徹した。,"The chief of staff didn’t show up, thereby staying in the supporting role."
957,飲,3.0,12,969,4.0,"['イン', 'オン']","['の.む', '-の.み']","['drink', 'smoke', 'take']",この水は飲んでも大丈夫だ。,This water is safe to drink.
958,貴,6.0,12,970,1.0,['キ'],"['たっと.い', 'とうと.い', 'たっと.ぶ', 'とうと.ぶ']","['precious', 'value', 'prize', 'esteem', 'honor']",貴職らにとっては重要なことです。,This is an important thing for all of you.
959,衝,8.0,15,972,1.0,['ショウ'],['つ.く'],"['collide', 'brunt', 'highway', 'opposition (astronomy)', 'thrust', 'pierce', 'stab', 'prick']",私の自転車に乗っていて、その少年は大きな岩と衝突した。,"Riding my bicycle, the boy ran into a big rock."
960,焦,8.0,12,973,1.0,['ショウ'],"['こ.げる', 'こ.がす', 'こ.がれる', 'あせ.る', 'じ.れる', 'じ.らす']","['char', 'hurry', 'impatient', 'irritate', 'burn', 'scorch', 'singe']",台所で何か焦げ臭いにおいがします。,I smell something burning in the kitchen.
961,奪,8.0,14,974,1.0,['ダツ'],['うば.う'],"['rob', 'take by force', 'snatch away', 'dispossess', 'plunder', 'usurp']",テレビの普及によって我々の読書の時間がかなり奪われている。,The spread of television has considerably deprived us of our time for reading.
962,雇,8.0,12,975,2.0,['コ'],['やと.う'],"['employ', 'hire']",いきなり解雇を言い渡された。,I was discharged without notice.
963,災,5.0,7,976,1.0,['サイ'],['わざわ.い'],"['disaster', 'calamity', 'woe', 'curse', 'evil']",その洪水は彼らが体験したうちで最大の災害だった。,The flood was the greatest disaster they had ever had.
964,浦,8.0,10,977,1.0,['ホ'],['うら'],"['bay', 'creek', 'inlet', 'gulf', 'beach', 'seacoast']",兄は先月浦和にマイホームを建てた。,My brother had a house built in Urawa last month.
965,暮,6.0,14,978,2.0,['ボ'],"['く.れる', 'く.らす']","['evening', 'twilight', '""seasons end""', 'livelihood', 'make a living', 'spend time']",暦を見ていると「八専」や「土用」や「十方暮」などのような暦注が書いてあります。,"When I look at a calendar, astrologically significant days such as sexagenary days, midsummer, ten directions day etc are marked."
966,替,8.0,12,979,2.0,['タイ'],"['か.える', 'か.え-', 'か.わる']","['exchange', 'spare', 'substitute', 'per-']",僕と席を替わってくれませんか。,Will you exchange seats with me?
967,析,8.0,8,980,1.0,['セキ'],[],"['chop', 'divide', 'tear', 'analyze']",この分析には以下のアプローチがとられた。,The approach employed in this analysis was as follows.
968,預,6.0,13,981,2.0,['ヨ'],"['あず.ける', 'あず.かる']","['deposit', 'custody', 'leave with', 'entrust to']",ある物をホテルの金庫に預けたいのですが。,I'd like to put some things in the hotel safe.
969,焼,4.0,12,982,2.0,['ショウ'],"['や.く', 'や.き', 'や.き-', '-や.き', 'や.ける']","['bake', 'burning']",焼もちは友情の敵だ。,Jealousy is an enemy to friendship.
970,簡,6.0,18,983,2.0,"['カン', 'ケン']","['えら.ぶ', 'ふだ']","['simplicity', 'brevity']",彼のいう事は簡にして要を得た。,What he said was brief and to the point.
971,譲,8.0,20,984,1.0,['ジョウ'],['ゆず.る'],"['defer', 'turnover', 'transfer', 'convey']",スポーツが好きなのは、父親譲りなんだ。,I love sports. I get that from my father.
972,称,8.0,10,985,1.0,['ショウ'],"['たた.える', 'とな.える', 'あ.げる', 'かな.う', 'はか.り', 'はか.る', 'ほめ.る']","['appellation', 'praise', 'admire', 'name', 'title', 'fame']",放浪者、それが金持ちならば観光客と称される。,"The vagabond, when rich, is called a tourist."
973,肉,2.0,6,986,3.0,['ニク'],['しし'],['meat'],その犬は肉を食べなかった。,The dog didn't eat the meat.
974,納,6.0,10,987,1.0,"['ノウ', 'ナッ', 'ナ', 'ナン', 'トウ']","['おさ.める', '-おさ.める', 'おさ.まる']","['settlement', 'obtain', 'reap', 'pay', 'supply', 'store']",サンドラは日本食は何でも食べますが、納豆だけは食べません。,Sandra eats any Japanese food except natto.
975,樹,6.0,16,988,1.0,['ジュ'],['き'],"['timber', 'trees', 'wood', 'establish', 'set up']",ある樹が枯れたら、その場所に、もう１本植えたまえ。,"If a tree dies, plant another in its place."
976,挑,8.0,9,989,1.0,['チョウ'],['いど.む'],"['challenge', 'contend for', 'make love to']",彼は生命の危険を冒してその山に挑戦しました。,He challenged the mountain at the risk of his life.
977,章,3.0,11,990,2.0,['ショウ'],[],"['badge', 'chapter', 'composition', 'poem', 'design']",この本は３つの章から成り立っています。,This book is composed of three chapters.
978,臓,6.0,19,991,2.0,['ゾウ'],['はらわた'],"['entrails', 'viscera', 'bowels']",私の心臓が止まるような気がした。,My heart stopped beating.
979,律,6.0,9,992,2.0,"['リツ', 'リチ', 'レツ']",[],"['rhythm', 'law', 'regulation', 'gauge', 'control']",法律を守らなければならない。,We must abide by the law.
980,誘,8.0,14,993,1.0,['ユウ'],"['さそ.う', 'いざな.う']","['entice', 'lead', 'tempt', 'invite', 'ask', 'call for', 'seduce', 'allure']",人は誘惑にかかりやすい。,Men are subject to temptation.
981,紛,8.0,10,994,1.0,['フン'],"['まぎ.れる', '-まぎ.れ', 'まぎ.らす', 'まぎ.らわす', 'まぎ.らわしい']","['distract', 'be mistaken for', 'go astray', 'divert']",私たちはお金の紛失を調査するつもりだ。,We are going to look into the disappearance of the money.
982,貸,5.0,12,995,3.0,['タイ'],"['か.す', 'か.し-', 'かし-']",['lend'],貸し家を持っています。,We have a house for rent.
983,至,6.0,6,996,1.0,['シ'],['いた.る'],"['climax', 'arrive', 'proceed', 'reach', 'attain', 'result in']",幾多の紆余曲折を経て条約は締結されるに至った。,The treaty has been concluded after many twists and turns.
984,宗,6.0,8,997,1.0,"['シュウ', 'ソウ']",['むね'],"['religion', 'sect', 'denomination', 'main point', 'origin', 'essence']",完全な宗教の自由が万人に保証されている。,Full religious freedom is assured to all people.
985,促,8.0,9,998,1.0,['ソク'],['うなが.す'],"['stimulate', 'urge', 'press', 'demand', 'incite']",彼らは世界平和のための促進のためにあらゆる努力をしている。,They are making every effort for the promotion of world peace.
986,慎,8.0,13,999,1.0,['シン'],"['つつし.む', 'つつ.ましい', 'つつし', 'つつし.み']","['humility', 'be careful', 'discreet', 'prudent']",夫と比べると、彼女はあまり慎重ではない。,"Compared with her husband, she is not so careful."
987,控,8.0,11,1000,1.0,['コウ'],"['ひか.える', 'ひか.え']","['withdraw', 'draw in', 'hold back', 'refrain from', 'be moderate']",ここではたばこを控えてくれ。,Please refrain from smoking here.
988,贈,8.0,18,1001,2.0,"['ゾウ', 'ソウ']",['おく.る'],"['presents', 'send', 'give to', 'award to', 'confer on', 'presenting something']",ジェーンのこのネックレスは彼女のおばあさんからの贈り物です。,This necklace of Jane's is a gift from her grandmother.
989,智,9.0,12,1002,1.0,['チ'],[],"['wisdom', 'intellect', 'reason']",吉田智子さんを知っていますか。知っていますとも。幼なじみです。,"Do you know Tomoko Yoshida? Yes, indeed I do. We are childhood friends."
990,握,8.0,12,1003,1.0,['アク'],['にぎ.る'],"['grip', 'hold', 'mould sushi', 'bribe']",イギリス人はしばしば、誰かに紹介されるとすぐ握手をする。,"On being introduced to somebody, a British person often shakes hands."
991,照,4.0,13,1004,2.0,['ショウ'],"['て.る', 'て.らす', 'て.れる']","['illuminate', 'shine', 'compare', 'bashful']",我が家ではクリスマスツリーを照明で飾りました。,We decorated the Christmas tree with lights.
992,宙,6.0,8,1005,2.0,['チュウ'],[],"['mid-air', 'air', 'space', 'sky', 'memorization', 'interval of time']",白いほこりがまるで雪崩の雪煙のように宙に舞った。,White dust flew into the air like the spray from an avalanche.
993,酒,3.0,10,1006,2.0,['シュ'],"['さけ', 'さか-']","['sake', 'alcohol']",私の父はタバコも酒もしない。,My father neither smokes nor drinks.
994,俊,8.0,9,1007,1.0,['シュン'],[],"['sagacious', 'genius', 'excellence']",私が不在の間は俊が私の仕事を引き継ぎます。,Shun will take over my job while I'm away.
995,銭,6.0,14,1008,1.0,"['セン', 'ゼン']","['ぜに', 'すき']","['coin', '.01 yen', 'money']",１銭たりともむだにしないのが彼の信条だ。,He makes a religion of never wasting a penny.
996,薄,8.0,16,1009,2.0,['ハク'],"['うす.い', 'うす-', '-うす', 'うす.める', 'うす.まる', 'うす.らぐ', 'うす.ら-', 'うす.れる', 'すすき']","['dilute', 'thin', 'weak (tea)', 'pampas grass']",そこには消えることのない薄明かりがあった。,There was eternal twilight in the place.
997,堂,5.0,11,1010,3.0,['ドウ'],[],"['public chamber', 'hall']",彼の踊りは堂に入ってる。,His dance is excellent.
998,渋,8.0,11,1011,1.0,"['ジュウ', 'シュウ']","['しぶ', 'しぶ.い', 'しぶ.る']","['astringent', 'hesitate', 'reluctant', 'have diarrhea']",渋柿から渋を抽出して飲んだ。,I squeezed the juice from the persimmon and drank it.
999,群,4.0,13,1012,2.0,['グン'],"['む.れる', 'む.れ', 'むら', 'むら.がる']","['flock', 'group', 'crowd', 'herd', 'swarm', 'cluster']",この辞書は群を抜いてよい。,This dictionary is by far the best.
1000,銃,8.0,14,1013,1.0,['ジュウ'],['つつ'],"['gun', 'arms']",この銃は３００メートルの射程がある。,This gun has a range of 300 meters.
1001,悲,3.0,12,1014,2.0,['ヒ'],"['かな.しい', 'かな.しむ']","['grieve', 'sad', 'deplore', 'regret']",ジェーンのお別れの挨拶を聞いて、私達はとても悲しくなりました。,Jane's farewell speech made us very sad.
1002,秒,3.0,9,1015,2.0,['ビョウ'],[],['second (1/60 minute)'],私の時計は月に３０秒進む。,My watch gains thirty seconds a month.
1003,操,6.0,16,1016,2.0,"['ソウ', 'サン']","['みさお', 'あやつ.る']","['maneuver', 'manipulate', 'operate', 'steer', 'chastity', 'virginity', 'fidelity']",その代わりに、彼は自分のコンピューターを制御しているスイッチを操作した。,"Instead, he worked a switch that controlled his computer."
1004,携,8.0,13,1017,1.0,['ケイ'],"['たずさ.える', 'たずさ.わる']","['portable', 'carry (in hand)', 'armed with', 'bring along']",イギリスは警官が銃を携帯しない国です。,England is a land where the policemen carry no revolvers.
1005,奥,8.0,12,1018,2.0,['オウ'],"['おく', 'おく.まる', 'くま']","['heart', 'interior']",彼らはレストランの奥の方に座った。,The group was seated in the back of the restaurant.
1006,診,8.0,12,1019,1.0,['シン'],['み.る'],"['checkup', 'seeing', 'diagnose', 'examine']",貴殿はテニス肘と診断されました。温かいお湯に腕をつけてください。,You have tennis elbow. Soak your arm in warm water.
1007,詰,8.0,13,1020,2.0,"['キツ', 'キチ']","['つ.める', 'つ.め', '-づ.め', 'つ.まる', 'つ.む']","['packed', 'close', 'pressed', 'reprove', 'rebuke', 'blame']",その箱にそんなに詰めると底が抜けるよ。,"If you stuff the box too full, the bottom will fall out."
1008,託,8.0,10,1021,1.0,['タク'],"['かこつ.ける', 'かこ.つ', 'かこ.つける']","['consign', 'requesting', 'entrusting with', 'pretend', 'hint']",託児所のトイレのドアは閉まっていた。,The nursery toilet door was shut.
1009,晴,2.0,12,1022,2.0,['セイ'],"['は.れる', 'は.れ', 'は.れ-', '-ば.れ', 'は.らす']",['clear up'],輝かしい晴れた日曜日の朝だった。,It was a bright and clear Sunday morning.
1010,撮,8.0,15,1023,1.0,['サツ'],"['と.る', 'つま.む', '-ど.り']","['snapshot', 'take pictures']",拡大コピーを撮ってくるよ。,I'm going to make enlarged copies.
1011,誕,6.0,15,1024,1.0,['タン'],[],"['nativity', 'be born', 'declension', 'lie', 'be arbitrary']",僕たちはおばあちゃんの誕生パーティーを開いたんだ。,We had a birthday party for the old lady.
1012,侵,8.0,9,1025,1.0,['シン'],['おか.す'],"['encroach', 'invade', 'raid', 'trespass', 'violate']",概して、記者というものは個人のプライバシーを侵害することにためらいを感じない。,"By and large, reporters don't hesitate to intrude on one's privacy."
1013,括,8.0,9,1026,1.0,['カツ'],['くく.る'],"['fasten', 'tie up', 'arrest', 'constrict']",物はすべて一括して買うとやすい。,You can get anything less expensive in bulk.
1014,掛,8.0,11,1027,1.0,"['カイ', 'ケイ']","['か.ける', '-か.ける', 'か.け', '-か.け', '-が.け', 'か.かる', '-か.かる', '-が.かる', 'か.かり', '-が.かり', 'かかり', '-がかり']","['hang', 'suspend', 'depend', 'arrive at', 'tax', 'pour']",この種の保険は掛け捨てが多い。,"With this type of insurance, most policies don't come with a maturity refund."
1015,謝,5.0,17,1028,1.0,['シャ'],['あやま.る'],"['apologize', 'thank', 'refuse']",彼は面会謝絶だ。,He sees no company.
1016,双,8.0,4,1029,2.0,['ソウ'],"['ふた', 'たぐい', 'ならぶ', 'ふたつ']","['pair', 'set', 'comparison', 'counter for pairs']",彼は双眼鏡で競馬を見た。,He watched the horse racing through his binoculars.
1017,孝,6.0,7,1030,1.0,"['コウ', 'キョウ']",[],"['filial piety', '""childs respect""']",親の墓参りに行って、あたしはお墓に親不孝を謝ってね。,"When we'd visit our parents' graves, I would apologize for my lack of filial piety."
1018,刺,8.0,8,1031,2.0,['シ'],"['さ.す', 'さ.さる', 'さ.し', 'さし', 'とげ']","['thorn', 'pierce', 'stab', 'prick', 'sting', 'calling card']",この指に刺がささって取れません。,I can't get this splinter out of my finger.
1019,到,8.0,8,1032,2.0,['トウ'],['いた.る'],"['arrival', 'proceed', 'reach', 'attain', 'result in']",私はここに到着した日に彼に会った。,I met him on the day I arrived here.
1020,駆,8.0,14,1033,1.0,['ク'],"['か.ける', 'か.る']","['drive', 'run', 'gallop', 'advance', 'inspire', 'impel']",彼ははあはあ言いながら階段を駆け上がった。,He ran up the stairs panting.
1021,寝,8.0,13,1034,2.0,['シン'],"['ね.る', 'ね.かす', 'い.ぬ', 'みたまや', 'や.める']","['lie down', 'sleep', 'rest', 'bed', 'remain unsold']",まだ寝足りないでしょ？,"You still need more sleep, don't you?"
1022,透,8.0,10,1035,1.0,['トウ'],"['す.く', 'す.かす', 'す.ける', 'とう.る', 'とう.す']","['transparent', 'permeate', 'filter', 'penetrate']",民主主義の精神がわれわれの日常生活の中に浸透するには相当の年月がかかると思います。,I believe it will be quite a long time before the spirit of democracy pervades our daily life.
1023,津,8.0,9,1036,1.0,['シン'],['つ'],"['haven', 'port', 'harbor', 'ferry']",私たちには２人の息子がいる。一人は奈良に、もう一人は津にいる。,I have two sons. One is in Nara and the other in Tsu.
1024,壁,8.0,16,1037,2.0,['ヘキ'],['かべ'],"['wall', 'lining (stomach)', 'fence']",窓が壁と同一平面にある。,The windows are flush with the wall.
1025,稲,8.0,14,1038,1.0,"['トウ', 'テ']","['いね', 'いな-']",['rice plant'],稲は雨の多い地域で作られる。,Rice is grown in rainy regions.
1026,仮,5.0,6,1039,2.0,"['カ', 'ケ']","['かり', 'かり-']","['sham', 'temporary', 'interim', 'assumed (name)', 'informal']",仮の議事内容を送付しました。,Attached is the tentative agenda.
1027,暗,3.0,13,1040,3.0,['アン'],"['くら.い', 'くら.む', 'くれ.る']","['darkness', 'disappear', 'shade', 'informal', 'grow dark', 'be blinded']",暗殺が世界の歴史を変えたことはない。,Assassination has never changed the history of the world.
1028,裂,8.0,12,1041,1.0,['レツ'],"['さ.く', 'さ.ける', '-ぎ.れ']","['split', 'rend', 'tear']",地震のため水道の本管が破裂した。,The water mains burst due to the earthquake.
1029,敏,8.0,10,1042,1.0,['ビン'],['さとい'],"['cleverness', 'agile', 'alert']",彼は自分の利益には敏感だ。,He is alive to his own interests.
1030,鳥,2.0,11,1043,3.0,['チョウ'],['とり'],"['bird', 'chicken']",鳥になりたいな。,I wish I were a bird.
1031,純,6.0,10,1044,2.0,['ジュン'],[],"['genuine', 'purity', 'innocence', 'net (profit)']",最新の３ヶ月で純利益が過去最高記録となっています！,Net profit for the last three months is a new record high!
1032,是,8.0,9,1045,1.0,"['ゼ', 'シ']","['これ', 'この', 'ここ']","['just so', 'this', 'right', 'justice']",これは、お前の体躯、護衛能力を考慮した上でのプランなのだ。是が非でもやってもらう。,This is a plan that takes into account your stature and your ability to guard. By all means do it for me.
1033,飯,4.0,12,1046,3.0,['ハン'],['めし'],"['meal', 'boiled rice']",早飯の人は仕事が早い。,"Quick at meal, quick at work."
1034,排,8.0,11,1047,1.0,['ハイ'],[],"['repudiate', 'exclude', 'expel', 'reject', 'line up', 'arrange']",車の排気ガスは都市の深刻な汚染を引き起こしている。,Car exhaust causes serious pollution in towns.
1035,裕,8.0,12,1048,1.0,['ユウ'],[],"['abundant', 'rich', 'fertile']",彼は家を買う余裕がある。まして自動車は買える。,"He can afford to buy a house, to say nothing of a car."
1036,堅,8.0,12,1049,1.0,['ケン'],"['かた.い', '-がた.い']","['strict', 'hard', 'solid', 'tough', 'tight', 'reliable']",ここに鉛筆が二本ある。一本は堅く、もう一本は柔らかい。,"Here are two pencils: one is hard, and the other soft."
1037,訳,6.0,11,1050,1.0,['ヤク'],['わけ'],"['translate', 'reason', 'circumstance', 'case']",まだ有罪になった訳ではない。,He hasn't been proven guilty yet.
1038,盗,8.0,11,1051,2.0,['トウ'],"['ぬす.む', 'ぬす.み']","['steal', 'rob', 'pilfer']",その少年が私の傘を盗んだはずがない。,The boy cannot have stolen my umbrella.
1039,芝,8.0,6,1052,1.0,['シ'],['しば'],"['turf', 'lawn']",公園の芝は青く美しい。,The grass in the park is green and beautiful.
1040,綱,8.0,14,1053,1.0,['コウ'],['つな'],"['hawser', 'class (genus)', 'rope', 'cord', 'cable']",綱は張りすぎて切れた。,The rope broke under the strain.
1041,吸,6.0,6,1054,2.0,['キュウ'],['す.う'],"['suck', 'imbibe', 'inhale', 'sip']",肺炎にかかると呼吸困難になる。,Pneumonia causes difficulty in breathing.
1042,典,4.0,8,1055,1.0,"['テン', 'デン']","['ふみ', 'のり']","['code', 'ceremony', 'law', 'rule']",彼は外国で２年間研究する特典を得た。,He had the privilege of studying abroad for two years.
1043,賀,4.0,12,1056,1.0,['ガ'],[],"['congratulations', 'joy']",私たちが志賀高原に着く頃には雪が降っているでしょう。,It will be snowing when we arrive at Shiga Heights.
1044,扱,8.0,6,1057,1.0,"['ソウ', 'キュウ']","['あつか.い', 'あつか.う', 'あつか.る', 'こ.く']","['handle', 'entertain', 'thresh', 'strip']",代表の人間が彼らの部署の誰であろうと、大切に扱え。,"Whoever the representative is from their division, treat him well."
1045,顧,8.0,21,1058,1.0,['コ'],['かえり.みる'],"['look back', 'review', 'examine oneself', 'turn around']",電話は彼女がもっと多くの顧客を見つけるのに役立った。,Having a telephone helped her find more clients.
1046,弘,9.0,5,1059,1.0,"['コウ', 'グ']",['ひろ.い'],"['vast', 'broad', 'wide']",この調査をした弘前大学の松坂方士さんは「４０％は驚くほど高いです。これが、がんで亡くなる人が多い原因の１つかもしれません。もっといい検査にしなければなりません」と話しています。,"Hirosaki University’s Mr Masashi Matsuzaka, who conducted the research, commented, “40% is surprisingly high. This may be one of the causes of large numbers of people dying from cancer. We must improve the quality of these examinations.”"
1047,看,6.0,9,1060,2.0,['カン'],['み.る'],"['watch over', 'see']",私には姉妹が三人いる。一人は看護婦で、残る二人は学生である。,I have three sisters; one is a nurse and the others are students.
1048,訟,8.0,11,1061,1.0,['ショウ'],[],"['sue', 'accuse']",彼女は彼を相手取って損害賠償の訴訟を起こした。,She sued him for damages.
1049,戒,8.0,7,1062,1.0,['カイ'],['いまし.める'],['commandment'],警戒するに越したことはない。,You can't be too vigilant.
1050,祉,8.0,8,1063,1.0,['シ'],[],"['welfare', 'happiness']",私たち学生も、地震の犠牲になった人たちの福祉のために寄付をしよう。わずかなお金でも大いに役に立とう。,Let us students contribute to the welfare of the victims of the earthquake; even pin-money will go a long way.
1051,誉,8.0,13,1064,1.0,['ヨ'],"['ほま.れ', 'ほ.める']","['reputation', 'praise', 'honor', 'glory']",彼は何物にもまして名誉を重んじる。,He values honor above anything else.
1052,歓,8.0,15,1065,1.0,['カン'],['よろこ.ぶ'],"['delight', 'joy']",我がクラブに入会したい人々を歓迎します。,We welcome those who want to join our club.
1053,勉,3.0,10,1066,3.0,['ベン'],['つと.める'],"['exertion', 'endeavour', 'encourage', 'strive', 'make effort', 'diligent']",休み中に置き勉してると没収されるんだよな。,"If you leave your textbooks at school during the break, they'll get confiscated."
1054,奏,6.0,9,1067,1.0,['ソウ'],['かな.でる'],"['play music', 'speak to a ruler', 'complete']",このバンドの演奏を聞いているの。,I'm listening to this band.
1055,勧,8.0,13,1068,1.0,"['カン', 'ケン']",['すす.める'],"['persuade', 'recommend', 'advise', 'encourage', 'offer']",店主は私にそれを買うようしきりに勧めた。,The shopkeeper urged me to buy it.
1056,騒,8.0,18,1069,1.0,['ソウ'],"['さわ.ぐ', 'うれい', 'さわ.がしい']","['boisterous', 'make noise', 'clamor', 'disturb', 'excite']",絶え間ない騒音で耳ががーんとなった。,The continual noise deafened us.
1057,翌,6.0,11,1070,2.0,['ヨク'],[],"['the following', 'next']",彼女はその翌年に女優になった。,She became an actress the following year.
1058,陽,3.0,12,1071,2.0,['ヨウ'],['ひ'],"['sunshine', 'yang principle', 'positive', 'male', 'heaven', 'daytime']",陽は知らぬ間に地平線下に沈んだ。,The sun sank below the horizon before I knew it.
1059,閥,8.0,14,1072,1.0,['バツ'],[],"['clique', 'lineage', 'pedigree', 'faction', 'clan']",第二次世界大戦後財閥の解体が行われた。,"After the second world war, the large financial combines were dissolved."
1060,甲,8.0,5,1073,1.0,"['コウ', 'カン']",['きのえ'],"['armor', 'high (voice)', 'A grade', 'first class', 'former', 'instep', 'carapace']",「乙さんも甲さんもみんなかえって来てくれるとにぎやかになっていいのにね。」と申しました。,"""But if only some of the other cranes were to come home too, things would be much livelier,"" she said."
1061,快,5.0,7,1074,2.0,['カイ'],['こころよ.い'],"['cheerful', 'pleasant', 'agreeable', 'comfortable']",快便快食快眠は健康のしるし。,"A good appetite, sound sleep, and regular motions are the three signs of good health."
1062,縄,4.0,15,1075,1.0,['ジョウ'],"['なわ', 'ただ.す']","['straw rope', 'cord']",泥棒を見て縄をなう。,It's too late to shut the barn door after the horse is stolen.
1063,片,6.0,4,1076,2.0,['ヘン'],"['かた-', 'かた']","['one-sided', 'leaf', 'sheet', 'right-side kata radical (no. 91)']",彼は片膝をついて身をかがめた。,He ducked down on one knee.
1064,郷,6.0,11,1077,1.0,"['キョウ', 'ゴウ']",['さと'],"['home town', 'village', 'native place', 'district']",いえ、お気になさらず。郷に入っては郷に従えと学んできました。,"No, please don't concern yourself. I have learnt to do as the Romans when in Rome."
1065,敬,6.0,12,1078,2.0,"['ケイ', 'キョウ']",['うやま.う'],"['awe', 'respect', 'honor', 'revere']",議論は相互の尊敬の念に基づいている。,Discussion is based upon mutual respect.
1066,揺,8.0,12,1079,1.0,['ヨウ'],"['ゆ.れる', 'ゆ.る', 'ゆ.らぐ', 'ゆ.るぐ', 'ゆ.する', 'ゆ.さぶる', 'ゆ.すぶる', 'うご.く']","['swing', 'shake', 'sway', 'rock', 'tremble', 'vibrate']",爆弾が落ちたとき、私は家が前後に揺れ動くのを感じた。,"When the bomb was dropped, I felt the house rock back and forth."
1067,免,8.0,8,1080,1.0,['メン'],"['まぬか.れる', 'まぬが.れる']","['excuse', 'dismissal']",君に免じて彼を許そう。,I will forgive him out of consideration.
1068,既,8.0,10,1081,1.0,['キ'],['すで.に'],"['previously', 'already', 'long ago']",私はもう既に朝食を済ませました。,I've already eaten breakfast.
1069,薦,8.0,16,1082,1.0,['セン'],['すす.める'],"['recommend', 'mat', 'advise', 'encourage', 'offer']",彼の推薦のおかげで、私は東京の大学で教鞭をとることが出来た。,"Thanks to his recommendation, I was able to get a teaching job at a college in Tokyo."
1070,隣,8.0,16,1083,1.0,['リン'],"['とな.る', 'となり']",['neighboring'],隣の花は赤い。,The rose is always redder on the other side.
1071,悩,8.0,10,1084,2.0,['ノウ'],"['なや.む', 'なや.ます', 'なや.ましい', 'なやみ']","['trouble', 'worry', 'in pain', 'distress', 'illness']",私には悩みを相談できる人がいないのです。,I've no friend to talk to about my problems.
1072,華,8.0,10,1085,1.0,"['カ', 'ケ']",['はな'],"['splendor', 'flower', 'petal', 'shine', 'luster', 'ostentatious', 'showy', 'gay', 'gorgeous']",頼めば、その華はもらえる。,The flower is yours for the asking.
1073,泉,6.0,9,1086,2.0,['セン'],['いずみ'],"['spring', 'fountain']",祖父は泉で遊んでいる子供たちに作りたてのホットドッグを配っていた。,My grandfather handed out freshly made hot dogs to the children playing in the spring.
